unique_name,sample,date,plantsp,bee,species,choice,plant,treatment,trytolegit,robbed,timetorob,timefeeding,flower#,notes,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,3.43,19.77,1,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.97,13.37,2,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.92,14.49,3,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,4.8,1.49,4,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,3.86,6.71,5,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.72,7.69,6,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,1.27,0.87,7,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,yes,no,na,na,8,,,
Jul-28_corydalis_2_flavifrons,CORYFLAV034,Jul-28,corydalis,2,flavifrons,no,no,na,na,na,na,na,na,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.78,10.86,1,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.07,18.59,2,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.82,15.48,3,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.86,4.06,4,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.99,6.35,5,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.89,1.75,6,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.88,1.44,7,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,yes,yes,1.19,18.43,8,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,1,mreu,no,yes,1.27,1.32,2,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,1.14,19.13,3,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,1.25,14.44,4,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,1.11,13.19,5,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,0.69,5.57,6,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,2.05,4.69,7,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,0.62,11.99,8,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,0.55,3.61,10,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,5,control,no,no,na,na,1,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,no,na,na,9,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,6,control,yes,yes,41.59,4.2,4,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,6,control,no,yes,2.56,1.81,5,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,6,control,yes,yes,5.58,16.47,6,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,4,control,yes,yes,5.17,5.37,11,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,yes,yes,3.1,17.39,1,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,no,yes,1.94,4.7,2,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,no,yes,16.66,3.69,8,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,no,yes,2.13,6.36,9,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,1,mreu,yes,yes,7.08,0.99,13,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,2,mreu,no,yes,1.86,1.44,14,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,6,control,yes,no,na,na,7,23.31tryingtolegit,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,4,control,no,no,na,na,12,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,5,control,yes,no,na,na,15,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,4,control,yes,no,na,na,16,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,yes,no,na,na,3,,,
Jul-28_corydalis_5_bifarius,CORYBIF043,Jul-28,corydalis,5,bifarius,yes,3,mreu,yes,no,na,na,10,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,3.31,14.26,1,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,0.89,18.44,2,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,3.78,12.76,3,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,1.06,3.47,4,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.8,9.37,5,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,2.04,8.42,6,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,1.09,5.77,7,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.57,5.25,8,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.6,10.01,9,,,
Jul-28_corydalis_7_bifarius,CORYBIF041,Jul-28,corydalis,7,bifarius,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_8_flavifrons,CORYFLAV035,Jul-28,corydalis,8,flavifrons,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_9_mixtus,CORYMIXT007,Jul-28,corydalis,9,mixtus,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_11_bifarius,CORYBIF042,Jul-28,corydalis,11,bifarius,yes,2,mreu,no,yes,0.97,12.82,1,,,
Jul-28_corydalis_11_bifarius,CORYBIF042,Jul-28,corydalis,11,bifarius,yes,1,mreu,no,yes,0.63,1.6,2,,,
Jul-28_corydalis_12_flavifrons,CORYFLAV036,Jul-28,corydalis,12,flavifrons,no/dead,na,na,na,na,na,na,na,,,
Jul-27_corydalis_1_bifarius,CORYBIF036,Jul-27,corydalis,1,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_2_bifarius,CORYBIF037,Jul-27,corydalis,2,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_3_bifarius,CORYBIF038,Jul-27,corydalis,3,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_4_flavifrons,CORYFLAV033,Jul-27,corydalis,4,flavifrons,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_5_flavifrons,CORYFLAV032,Jul-27,corydalis,5,flavifrons,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_6_bifarius,CORYBIF035,Jul-27,corydalis,6,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,yes,yes,1.82,3.99,9,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,0,7.93,10,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,5.56,2.44,11,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,15.7,3.68,12,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,1.87,1.02,13,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,yes,yes,7.07,13.86,3,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,0,3.93,4,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,0,1.85,5,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,yes,yes,13.17,16.91,6,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,0,21.38,7,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,6.6,10.33,16,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,10.08,10.11,17,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,14.75,33.95,18,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,3.69,8.42,20,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,1.68,7.65,21,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,2.65,3.47,22,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,1.32,5.11,23,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,3.33,2.58,24,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,no,na,na,14,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,yes,no,na,na,15,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,no,na,na,1,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,1,mreu,no,no,na,na,2,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,yes,no,na,na,8,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,no,na,na,19,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,no,na,na,25,,,
Jul-18_corydalis_10_flavifrons,CORYFLAV030,Jul-18,corydalis,10,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,1.11,11.62,1,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,5.91,10.82,2,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,0.62,1.37,3,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,7.13,6.93,4,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,1.32,2.87,5,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,2,control,no,yes,4.46,1,6,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,5,mreu,no,yes,0.71,7.98,7,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,5,mreu,no,yes,2.05,3.13,8,,,
Aug-15_mertensia_1_flavifrons,MERFLAV028,Aug-15,mertensia,1,flavifrons,yes,5,mreu,no,yes,2.93,5.98,9,,,
Aug-15_mertensia_2_flavifrons,MERFLAV029,Aug-15,mertensia,2,flavifrons,yes,5,mreu,no,yes,1.54,25.23,1,,,
Aug-15_mertensia_2_flavifrons,MERFLAV029,Aug-15,mertensia,2,flavifrons,yes,2,control,no,yes,1.57,12.68,2,,,
Aug-15_mertensia_2_flavifrons,MERFLAV029,Aug-15,mertensia,2,flavifrons,yes,2,control,no,yes,1.43,12.12,3,,,
Aug-15_mertensia_2_flavifrons,MERFLAV029,Aug-15,mertensia,2,flavifrons,yes,3,control,no,yes,2.53,9.64,4,,,
Aug-15_mertensia_3_flavifrons,MERFLAV030,Aug-15,mertensia,3,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,4,mreu,yes,yes,17.31,10.96,1,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,4,mreu,yes,yes,18.15,10.38,2,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,4,mreu,no,yes,0.62,7.95,3,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,5,mreu,yes,yes,5.94,6.68,5,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,5,mreu,no,yes,3.19,2.5,6,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,5,mreu,no,yes,1.78,7.96,7,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,5,mreu,yes,yes,0.61,0.81,8,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,5,mreu,no,yes,0.7,5.74,9,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,6,mreu,yes,yes,7.37,5.85,10,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,6,mreu,no,yes,2.9,6.84,11,,,
Aug-15_mertensia_4_flavifrons,MERFLAV025,Aug-15,mertensia,4,flavifrons,yes,4,mreu,yes,no,na,na,4,pulled plug out,,
Aug-15_mertensia_5_flavifrons,MERFLAV026,Aug-15,mertensia,5,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-15_mertensia_6_flavifrons,MERFLAV027,Aug-15,mertensia,6,flavifrons,yes,5,mreu,yes,yes,4.25,16.05,1,tried to pull cotton out,,
Aug-15_mertensia_6_flavifrons,MERFLAV027,Aug-15,mertensia,6,flavifrons,yes,5,mreu,no,yes,5.07,0.75,2,fell from the flower,,
Aug-15_mertensia_6_flavifrons,MERFLAV027,Aug-15,mertensia,6,flavifrons,yes,1,control,yes,yes,6.58,10.52,5,,,
Aug-15_mertensia_6_flavifrons,MERFLAV027,Aug-15,mertensia,6,flavifrons,yes,2,control,yes,no,na,na,4,,,
Aug-15_mertensia_6_flavifrons,MERFLAV027,Aug-15,mertensia,6,flavifrons,yes,6,mreu,yes,na,na,na,3,pulled cotton out,,
Aug-15_mertensia_7_flavifrons,MERFLAV031,Aug-15,mertensia,7,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,6,mreu,no,yes,0.68,21.74,1,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,6,mreu,no,yes,0.57,11.71,2,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,6,mreu,no,yes,0.5,1.94,3,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,6,mreu,no,yes,1.86,1.15,4,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,4,mreu,no,yes,5.25,1.9,5,,,
Aug-15_mertensia_8_flavifrons,MERFLAV032,Aug-15,mertensia,8,flavifrons,yes,5,mreu,no,yes,3.88,1.98,6,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,2,control,yes,yes,21.62,15.63,1,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,2,control,no,yes,4.02,13.01,2,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,1,mreu,no,yes,4.38,12.13,1,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,1,mreu,no,yes,0.71,14.94,2,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,1,mreu,no,yes,1.17,0.84,3,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,1,mreu,no,yes,0.87,16.99,4,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,1,mreu,no,yes,3.57,1.12,5,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,2,control,yes,yes,21.16,2.76,6,can't find hole,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,2,control,no,yes,9.21,1.8,7,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,3,mreu,no,yes,11.52,11.95,8,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,5,control,no,yes,3.63,11.41,9,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,5,control,no,yes,6.24,9.79,10,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,5,control,no,yes,5.05,8.1,11,,,
Aug-14_mertensia_1_flavifrons,MERFLAV014,Aug-14,mertensia,1,flavifrons,yes,6,control,yes,no,na,na,na,,,
Aug-14_mertensia_2_flavifrons,MERFLAV015,Aug-14,mertensia,2,flavifrons,yes,2,control,yes,yes,9.45,9.06,2,,,
Aug-14_mertensia_2_flavifrons,MERFLAV015,Aug-14,mertensia,2,flavifrons,yes,2,control,no,yes,2.95,63.05,3,,,
Aug-14_mertensia_2_flavifrons,MERFLAV015,Aug-14,mertensia,2,flavifrons,yes,2,control,yes,no,na,70.43,1,cotton ball pulled out,,
Aug-14_mertensia_3_flavifrons,MERFLAV016,Aug-14,mertensia,3,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_4_flavifrons,MERFLAV017,Aug-14,mertensia,4,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_5_flavifrons,MERFLAV018,Aug-14,mertensia,5,flavifrons,yes,6,control,yes,no,na,na,na,just stood on top of plant,,
Aug-14_mertensia_5_flavifrons,MERFLAV018,Aug-14,mertensia,5,flavifrons,yes,5,control,yes,no,na,na,na,,,
Aug-14_mertensia_6_flavifrons,MERFLAV019,Aug-14,mertensia,6,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_7_flavifrons,MERFLAV020,Aug-14,mertensia,7,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_8_flavifrons,MERFLAV021,Aug-14,mertensia,8,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_9_flavifrons,MERFLAV022,Aug-14,mertensia,9,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-14_mertensia_10_flavifrons,MERFLAV023,Aug-14,mertensia,10,flavifrons,yes,3,mreu,no,yes,1.55,31.71,2,,,
Aug-14_mertensia_10_flavifrons,MERFLAV023,Aug-14,mertensia,10,flavifrons,yes,3,mreu,yes,no,na,90,1,pulled cotton ball out/ returned to this plant ,,
Aug-14_mertensia_11_flavifrons,MERFLAV024,Aug-14,mertensia,11,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,3,mreu,yes,yes,2.96,13.69,1,cold morning,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,3,mreu,no,yes,1.62,2.14,2,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,3,mreu,yes,yes,4.25,9.29,3,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,6,control,yes,yes,4.14,6.33,4,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,2,mreu,no,yes,5.31,11.46,7,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,2,mreu,no,yes,3.37,9.92,8,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,1,control,yes,yes,8.84,7.57,10,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,4,mreu,yes,yes,6.01,9.2,11,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,4,mreu,no,yes,4.74,8.29,12,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,6,control,yes,no,na,na,5,didn’t find hole,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,2,mreu,yes,no,na,na,6,,,
Aug-11_mertensia_1_flavifrons,MERFLAV011,Aug-11,mertensia,1,flavifrons,yes,1,control,yes,no,na,na,9,,,
Aug-11_mertensia_2_flavifrons,MERFLAV012,Aug-11,mertensia,2,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,3,mreu,yes,yes,15.82,23.24,3,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,3,mreu,no,yes,3.87,8.37,4,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,6,control,yes,yes,18.96,16.98,7,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,2,mreu,no,yes,5.15,7.28,8,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,1,control,yes,no,na,na,1,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,1,control,yes,no,na,na,2,,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,5,control,yes,no,na,na,5,didn’t find hole,,
Aug-11_mertensia_3_flavifrons,MERFLAV013,Aug-11,mertensia,3,flavifrons,yes,2,mreu,yes,no,na,na,6,,,
Aug-10_mertensia_1_flavifrons,MERFLAV001,Aug-10,mertensia,1,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_2_flavifrons,MERFLAV002,Aug-10,mertensia,2,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_3_flavifrons,MERFLAV003,Aug-10,mertensia,3,flavifrons,yes,5,mreu,yes,yes,8.29,6.01,1,,,
Aug-10_mertensia_4_flavifrons,MERFLAV004,Aug-10,mertensia,4,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_5_flavifrons,MERFLAV005,Aug-10,mertensia,5,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_6_flavifrons,MERFLAV006,Aug-10,mertensia,6,flavifrons,no,na,na,na,na,na,na,na,,,
Aug-10_mertensia_7_flavifrons,MERFLAV007,Aug-10,mertensia,7,flavifrons,yes,5,mreu,yes,yes,4.31,1.75,3,,,
